nfeature,imputation,independent
1200,KNN,FALSE
1400,None,FALSE
3200,KNN,TRUE
1000,KNN,FALSE
2700,None,FALSE
3600,KNN,TRUE
1500,None,FALSE
600,ALRA,FALSE
4800,None,FALSE
4900,None,TRUE
800,None,FALSE
600,KNN,TRUE
800,KNN,TRUE
1900,ALRA,FALSE
4900,None,FALSE
1700,None,TRUE
4500,ALRA,TRUE
4700,ALRA,FALSE
2400,ALRA,TRUE
2200,ALRA,FALSE
800,None,TRUE
2500,None,TRUE
800,KNN,FALSE
1300,None,FALSE
2100,ALRA,TRUE
1800,KNN,TRUE
1900,KNN,TRUE
2100,ALRA,TRUE
1900,ALRA,TRUE
3800,ALRA,FALSE
1200,None,FALSE
1000,KNN,TRUE
2000,KNN,TRUE
3900,None,FALSE
1600,None,FALSE
4300,KNN,FALSE
3700,ALRA,FALSE
3200,ALRA,TRUE
3700,ALRA,FALSE
1300,ALRA,TRUE
1900,ALRA,FALSE
3400,KNN,FALSE
900,ALRA,FALSE
3300,None,FALSE
2500,ALRA,FALSE
3600,KNN,FALSE
4200,KNN,FALSE
3600,None,TRUE
4100,KNN,FALSE
2100,None,FALSE
2000,None,TRUE
