Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
ADAM19,RPS6KB2,CDYL,OPALIN,RAD23A,TRIM27,SCAMP2,SULF2,MYH14,TRIM2,NAT9,PSPC1,KIT,GPAM,CDK5R1,FHOD3,RFNG,MED30,PWWP2A,SETMAR,ATP13A2,ANGEL2,SEMA5A,MCF2,VWA5A,SYT5,GJB1,PHTF2,DGKH,HSDL1,NETO2,PCTP,PPP2R5E,PRR3,PAPD4,SLC1A2,COX7A2L,SH3RF1,MTTP,GRIN3A,RTN4RL1,PPIL6,OGDH,MFSD11,ZNF577,PDPK1,PMPCB,FOSL2,PDZRN3,SNRNP35,CRIM1,PTGR1,RBCK1,STRAP,ATP5G2,DYNLT1,AGFG2,MAGI3,IGBP1,BICD2,LRBA,PLOD2,HELLS,JOSD2,FAM13B,AFF2,FRMPD3,SLC22A5,ITGB1BP1,VGF,COG8,ZER1,UBE3B,UBA3,ESRRA,SYNC,RNF207,RAN,RGMB,WASL,EIF1AY,CCAR1,MED13,SPOCK2,CHMP1A,NUDT9,ABCG1,RSRC1,SMCR5,MYO15B,KIAA2022,SH3RF1,TMED10,SV2C,PPIL3,CKAP5,EMP1,TET3,RPLP1,LRRC2
ZFP2,TBC1D8,TNK2,CNTFR,HIBCH,PIP5K1C,TANK,ARRB2,MAP3K5,TNPO1,RGS7BP,CTBP1,HSBP1,CGGBP1,LSM8,STK4,HSPA1B,NUCB1,HIVEP1,TACC2,BEX5,ZNF445,PGM5P2,APEX1,HMG20A,TCEAL2,HSD11B1,PLXNA2,PRKCI,SEC22C,ZC3H13,ESRRA,FAM134B,RPIA,POLI,PNCK,NDUFA2,NSL1,RBM42,LCNL1,FOXN3,NCKIPSD,GYG2,FBXL3,CTNNBL1,KIAA0141,NUP50,JAKMIP1,HIBADH,ARPC3,OLIG2,TBC1D9B,PXDNL,LMAN1,SYT12,SEL1L3,AKTIP,ZNF791,TSPAN14,DCTN2,OSBPL10,ARRDC2,GREM2,DEPDC5,ARRB2,PDIA3,APBA1,ANGPT1,LIX1L,SERINC3,SMARCC2,DHX34,PRKCE,P2RX7,SNTB2,DPH5,HPCAL4,TXN,SERPINE2,FAM53C,VPS36,PPP5C,ZNF800,CEP78,P4HA2,ZFP90,TAF11,DDA1,FAM114A2,LMBRD1,SOX6,GABRB2,SLC40A1,DUSP7,FANCB,CCDC24,DHRS1,DYNC1I1,POT1,EFEMP2
PPWD1,TACR3,CCDC88A,DAB2IP,CHRM3,SNCAIP,MICAL2,CLIP4,NDUFV3,HES1,FAM107B,KLHL13,AGPAT3,F5,DMGDH,TAF4B,COMMD2,RGS7BP,CLTA,GTF2H3,PRKD3,PCMTD2,USP31,WWOX,TMOD2,PDDC1,LARP4,DCX,CEP78,RRP1B,ZCCHC2,ZFP14,JAZF1,DHX29,ZNF540,TFPT,TBK1,ST3GAL1,TPR,FANCC,HPN,NDE1,FOXP1,REPS1,NRG3,GRID2,ROCK2,NDUFS3,TCP11L1,CCNYL1,SON,RAB11FIP4,CCT2,LYPD1,ZNRF1,CD44,LRRC2,PARN,PDSS1,ZNF33A,PDE1B,EXOC4,RRAGA,PUM2,SNX4,PARP10,FABP3,SIRPA,THUMPD3,NBR1,SCCPDH,DENR,ITCH,ZMAT1,PRDM2,CCDC93,ZBTB7A,RFX2,PTRF,ZNF420,NFASC,GDI2,KIAA2026,FAM91A1,ZNF445,GATM,TXNIP,ANKRD36B,TOMM20,SYN3,SPATA7,CLDN12,TRIM2,DGKD,ATPIF1,APP,DDX58,SELM,MRFAP1L1,RPF1
PFDN2,KCTD12,TCEA2,ADAP1,GALNT11,ZNF445,HNMT,ZNF536,NAAA,RPS24,ZDHHC14,GTF2I,CTPS2,TRIB2,NEK7,RALA,DBF4B,MAP6,DDX60L,SPG20,TRIM36,RELN,CISD1,DIP2C,SMAD9,RABEPK,HSP90B1,ARSJ,SLC5A11,ZIC2,SLC14A1,PFDN4,GTF2A1,RCBTB2,ZNF281,SUPV3L1,RPS27A,MRPS14,SLC9A5,ESF1,ERCC1,BACE2,RAB1B,GGPS1,FREM1,MRPS11,APCDD1,TAF2,LIN7C,LGI3,FARP1,TRIT1,TPST2,TNPO3,MARCKSL1,POLI,RBBP6,HHAT,TMEM208,USH1C,IMMP1L,MTSS1L,CNP,ZEB2,RPF1,METAP1,PRKCH,GALK2,ZNF382,MEG3,RPS16,FLRT3,ANKRD46,MAOB,EPHA7,RIPK2,DCTPP1,SATB2,DCUN1D1,RHPN1,CASKIN2,FBXO32,TMEM117,TMEFF2,SLC25A29,ICA1,HAVCR2,OLA1,ARPC1A,FAF1,AKR1A1,P4HA2,TAF15,CCDC7,SKIL,TUBA1A,TPK1,CYB561,TIMM23,MPPE1
SVIP,SLC22A3,PML,SWAP70,FAM102B,CLTA,AGFG2,POLR1A,ULK1,ETFB,SLC25A4,ANXA6,VPS72,CLASP2,UCHL1,SNRK,HAMP,SSFA2,ADCY7,SPG11,LIPE,EPHA3,KIAA2022,AP1G2,CC2D1A,UBE2D1,TIMM8B,KCNK13,PACS2,ARFIP1,BRD7,NAIP,CSPP1,RGL2,RPRD2,ZBTB17,HPN,TMPRSS5,TOM1,TRIOBP,PPP2R3B,NUP210,ANLN,IFT172,MAP2K4,RPL10A,GUCY1A3,NRXN3,ZDHHC22,DYNLRB1,STK38L,MSL3,IL12RB2,GTF2IRD1,TTF2,RPS6KC1,MDM4,DIRAS1,ANO10,NDP,C5,USP39,WIF1,TMEM214,ATP1A1,FUZ,TSR2,STRBP,SMAD1,ZIC2,NDUFAF1,DIP2C,MAP1LC3A,OPA1,DAG1,ERAL1,NBN,PDGFA,RPA1,SLC39A7,ABCA3,MPV17,CASKIN2,DAAM2,GYS1,DSCR3,MAN1A2,DHPS,ACSL1,AKAP8L,POMP,NSMCE1,UBA5,KLRD1,LCOR,MUTYH,CLTA,ABCG1,MAFG,EPHB6
PLEKHA8,GSG1L,CLASP1,LRRC7,MFSD10,MED14,MED29,OGDHL,GNB5,PTPN21,GPR135,MLXIPL,ZC3HC1,ATXN7L3,TCF4,FRS2,CIRBP,ABCE1,FKBP3,FUT10,CD63,CNTNAP1,CYB561D1,LRMP,SLC6A11,SERPING1,BIRC6,GPR22,WDR47,RBMS1,MDM2,PLAG1,ABCD2,ZNRF1,ATPAF1,MAPK8IP2,ITFG2,NPAS2,CCDC146,POFUT2,IFT172,CLCN3,TRRAP,SORCS2,KBTBD11,AFF2,DDX56,SSH2,NPTN,PDE7B,RBMS1,FAHD2A,ZNF577,FPGS,ATP6V0E1,COCH,ZBTB8OS,CENPO,ZNF461,DCUN1D4,CYP46A1,APIP,C1QTNF6,NTM,UMPS,OSTF1,SH3PXD2B,RAD54L2,ZRANB3,RMI1,SSNA1,MTFR1,PUS10,ARMCX6,SYT17,SASH1,SLC23A2,JUN,ACSS2,EIF2B1,ARHGAP22,AP3M1,FABP3,HDAC6,S100A11,ABCF2,CAMKK1,ADCYAP1R1,VEGFB,NPTX1,METTL7A,FGFR1,MRPL13,GPR107,MSH3,LRRC8A,DTNB,RAB15,NDUFS7,NOP10
MFSD10,CAP2,YTHDF1,ALG6,ERCC4,PRUNE2,KAT2B,IDH2,RC3H2,ERN1,GNAL,PPOX,STK32C,RSPO2,BTBD8,CDH2,THUMPD2,FSTL3,MYO15B,RARRES3,SEC16A,AP1B1,G3BP1,DLST,ZNF90,PPP1R11,ANKRD17,RAB11FIP2,FAM78B,GNG5,RPA2,MTF1,RNASE1,XIAP,KCNQ2,CADPS,SLC9A8,KIT,SUPT7L,CD163,CADPS,ZIM2,NEK7,ZMYND11,LAPTM4A,GLIPR2,MCAM,ZNF365,STOML2,ASCC1,BTN2A1,ZCCHC11,S100A10,ZNF638,SLC10A7,PGD,MDGA2,HSPBP1,SNAP47,SFMBT2,MPDU1,KCNAB1,ZNF821,RILPL2,TTC23,TLL2,CPLX3,WDR89,CADM2,MRVI1,SLC25A17,EFS,CYCS,REPS2,LZTR1,ADAM17,ITFG1,GNB2,PAQR6,ZNF330,RPL35A,ZNF791,POLR3E,SELO,GRAMD1B,ZDHHC6,NPPC,KIAA1109,FCHO1,TRPS1,HDHD3,H2AFZ,KLHL8,HES5,RHBDD1,ZNF25,MRPL18,THSD7A,ATP8B4,ADAM32
RAPGEF4,ZNF35,STARD3NL,CFL2,LRBA,CHCHD1,HAPLN1,HYOU1,VPS36,REEP1,TSTD2,PALM2-AKAP2,KYNU,GRIP2,PYGB,IL6ST,MBD1,POM121C,VSTM2A,UBC,CRADD,TAF2,REXO2,C2CD2,ELN,TTYH1,RPS6KL1,ERCC5,TTC7B,DYM,MAML2,RSAD1,IFIT2,SLC24A3,PPP1R14C,WDR91,CRYAB,ABCA1,MYH11,CDKN1B,EDEM3,LMNA,TRAPPC1,ANKRD26,MEF2C,RPL34,ACSL3,CNBP,PIP5K1A,FNBP1L,ENTPD4,STT3B,TIAM1,RAB30,KDM5B,USPL1,SLITRK2,CREBBP,SYT1,GRIK2,WWTR1,ZNF385A,SIPA1L3,JAM2,SPATA20,SPRYD3,ACSL4,DSTN,DMPK,HLTF,PSMC2,ZFAT,PEX3,PRKACA,PRKCI,MED12L,TBC1D17,PDGFRA,GUCY1A3,PLXNB1,KDELR1,SESN3,SNX16,PEX13,SCAPER,EXOSC8,PNKP,PPP4R1,GNA14,TTN,UNG,IFI44L,TRIM28,ARHGEF7,CD47,RBM42,TMEM184C,LPGAT1,SCN9A,GSPT1
UBA1,MEG3,SF1,PARK7,OPCML,PDP2,ZNF32,PAQR4,REEP1,NCBP2,ARMCX6,HAP1,CMAS,CTR9,SMAD1,COX7C,PLD5,RAB26,TRIM37,VPS13C,DHPS,ZFP14,YTHDF2,ZMPSTE24,SCYL2,NUFIP2,ABCC10,ZFP2,SLC4A3,SFT2D1,HSF2,CMTM4,PIP5K1C,HEATR3,RNPS1,ZZEF1,CTDSP1,ZBTB25,IRF3,NKAP,KIAA0355,GNB2,CSTF3,ZFYVE9,ID2,BRI3BP,MTRR,SVIP,CYP27A1,AGFG2,B3GALNT1,CNOT6L,SLC22A23,SLC38A1,DDX51,CUL4A,TOMM22,ZNF567,PI16,CAPRIN1,LRRC37A2,NCOR1,NUP37,UCK1,NRP1,PIKFYVE,MAP3K10,TCTN1,EPHA7,ZNF432,PDGFA,TSPAN7,PIKFYVE,DHX40,IL1RAP,PGP,DOCK6,NRBP1,GPD1L,CD247,CDK9,COL16A1,F3,RANBP10,ZDHHC15,ZNF493,TMEM201,MLH3,CUTA,GRK5,NR2C2,CX3CR1,SLC44A3,CXCR4,NAGK,TMEM201,BBOX1,ENTPD1,ZNF35,PDE1C
TMEM132B,CCDC50,AASS,OSBPL7,ZBTB43,METTL8,SMAD5,ZCCHC17,ASPHD1,MTF2,FARP2,ST3GAL6,SYNE2,DYNLL2,UHMK1,CRIP2,RAB40C,RANGAP1,SNCAIP,TSC22D2,APOE,EIF2AK3,AJAP1,TTC26,HDLBP,NAV3,SHROOM3,SPATS2L,GUCY1A3,SH3TC1,METTL9,UBXN2B,MAPK6,PLXNA2,IL10RB,PRTFDC1,VGLL4,TAC3,STRA13,ATP8B4,PKN2,ST6GAL2,BCL9,GDPD2,TMEM19,EZR,GTF3C3,VEZT,PRMT2,CD96,MRPS27,ICA1,CHST15,RPS6KB2,NAP1L5,TEF,KIAA1147,KLK6,CLTC,LLGL2,SRGAP1,ALG13,SYCP2,SNX10,STK33,TGFB1,WDR18,ZNF318,PCDH11Y,FGFR1OP,MTMR6,SLC7A5,VPS35,VPS35,G3BP1,EIF4B,COQ10B,GRB14,SYT14,IFNAR1,PPP2R5C,PDE7A,CNIH4,RNFT2,CYB5B,CFLAR,SH3KBP1,ENKUR,DNMT3A,ATP5SL,SEPP1,SYCP2L,ITPK1,WSCD2,BRWD1,PTK2B,SEC23IP,CAB39,XBP1,AVIL
